model,task_id,scene,instruction,wm_success,baseline_success,wm_status,wm_fail_reason,wm_steps,wm_total_tokens
qwen3vl-8b,ai2thor03049,FloorPlan24,This soap bottle is empty. Please throw it in the trash can.,0,0,failed_model,Reached maximum step limit (26 steps),26,289198
qwen3vl-8b,ai2thor03051,FloorPlan25,"Please slice the tomato in the refrigerator, put one slice in the pot, and remember to close the refrigerator door.",0,0,failed_model,Reached maximum step limit (40 steps),40,561152
qwen3vl-8b,ai2thor03053,FloorPlan25,I'm about to cook. Please put the potato and egg in the pan and remember to close the refrigerator door.,0,0,failed_model,Reached maximum step limit (36 steps),36,481467
qwen3vl-8b,ai2thor03052,FloorPlan25,"I'm hungry. Please slice the potato, put a slice in the pan, and cook it.",0,0,failed_model,Reached maximum step limit (30 steps),30,368674
qwen3vl-8b,ai2thor03056,FloorPlan26,I'm going to clean the kitchen now. Please take a soap bottle and wash the dirty things in front of you.,0,0,failed_model,Reached maximum step limit (30 steps),30,367534
qwen3vl-8b,ai2thor03054,FloorPlan25,I'm outside the kitchen. Please bring the bread outside and turn off the kitchen lights.,0,0,failed_model,Reached maximum step limit (32 steps),32,414628
qwen3vl-8b,ai2thor03057,FloorPlan26,I don't want to eat the apple anymore. Please put it in the refrigerator and close the refrigerator door.,0,0,failed_model,Reached maximum step limit (40 steps),40,570359
qwen3vl-8b,ai2thor03058,FloorPlan26,"I'm about to start cooking, please put the spatula into the pan.",0,0,failed_model,Reached maximum step limit (34 steps),34,463074
qwen3vl-8b,ai2thor03059,FloorPlan26,I want to eat this potato. Please put the potato in the pan and cook it until it's done.,0,0,failed_model,Reached maximum step limit (30 steps),30,394316
qwen3vl-8b,ai2thor03060,FloorPlan27,This egg is rotten; please throw it in the trash can.,0,0,failed_model,Reached maximum step limit (32 steps),32,408226
qwen3vl-8b,ai2thor03061,FloorPlan27,I've washed this tomato. Please put it in the refrigerator and remember to close the door.,0,0,failed_model,Reached maximum step limit (36 steps),36,498980
qwen3vl-8b,ai2thor03063,FloorPlan27,"I need to make the soup first. Please put the ladle into the pot, and then add water.",0,0,failed_model,Reached maximum step limit (20 steps),20,185961
qwen3vl-8b,ai2thor03065,FloorPlan28,I'd like some coffee. Please put a clean mug into the coffee machine and turn it on so the mug is filled with coffee.,0,0,failed_model,Reached maximum step limit (20 steps),20,180830
qwen3vl-8b,ai2thor03064,FloorPlan27,I forgot to turn off the coffee machine and the kitchen light. Go turn them off.,0,0,failed_model,Reached maximum step limit (24 steps),24,251299
qwen3vl-8b,ai2thor03066,FloorPlan28,I put the dirty pot in the sink. Please wash it and then put it on the dining table.,0,0,failed_model,Reached maximum step limit (26 steps),26,284916
qwen3vl-8b,ai2thor03069,FloorPlan28,I accidentally threw the lettuce in the trash can. Please take it out and put it on the table.,0,0,failed_model,Reached maximum step limit (16 steps),16,126648
qwen3vl-8b,ai2thor03067,FloorPlan28,This potato has been in the refrigerator for a long time. Please take it out and throw it in the trash. Remember to close the refrigerator door.,0,0,failed_model,Reached maximum step limit (40 steps),40,559796
qwen3vl-8b,ai2thor03070,FloorPlan29,I've just entered the kitchen. Please turn on the kitchen light and put the potato I'm holding into the refrigerator. Remember to close the refrigerator door afterwards.,0,0,failed_model,Reached maximum step limit (24 steps),24,249816
qwen3vl-8b,ai2thor03068,FloorPlan28,"I don't want to eat lettuce, I want to eat potato. Please put the lettuce in the refrigerator and take the potato out of the refrigerator and onto the counter.",0,0,failed_model,Reached maximum step limit (40 steps),40,569954
qwen3vl-8b,ai2thor03071,FloorPlan29,"I want to eat toast. Please slice the bread, put one slice on the toaster, and cook it.",0,0,failed_model,Reached maximum step limit (28 steps),28,322328
qwen3vl-8b,ai2thor03076,FloorPlan30,I've washed all the dishes in the sink; please take them out and put them on the counter.,0,0,failed_model,Model determined task cannot be completed or refused to continue,1,3282
qwen3vl-8b,ai2thor03072,FloorPlan29,I accidentally burned the bread slice in the toaster. Please help me put the bread slice from the toaster into the trash can.,0,0,failed_model,Reached maximum step limit (34 steps),34,467615
qwen3vl-8b,ai2thor03075,FloorPlan30,Please help me throw the apple into the trash can and turn on my phone.,0,0,failed_model,Reached maximum step limit (32 steps),32,408551
qwen3vl-8b,ai2thor03074,FloorPlan29,"I want to eat an egg, not bread. Please put the bread in the refrigerator and take the egg.",0,0,failed_model,Reached maximum step limit (40 steps),40,578055
qwen3vl-8b,ai2thor04000,FloorPlan302,I want to look up information on my phone. Please pick up the cell phone from the desk in the room.,0,0,failed_model,Model claimed DONE but success conditions not met,3,11656
qwen3vl-8b,ai2thor03073,FloorPlan29,I want to eat potatoes. Please put this potato on a plate and then put the plate in the microwave.,0,0,failed_model,Reached maximum step limit (50 steps),50,791563
qwen3vl-8b,ai2thor04004,FloorPlan303,Please move the book from the side table next to the window to the desk next to the bed on the right.,0,0,failed_model,Model claimed DONE but success conditions not met,7,36291
qwen3vl-8b,ai2thor04001,FloorPlan301,I'm about to wash my pillow. Please help me pick up the pillow from the bed.,0,0,failed_model,Reached maximum step limit (18 steps),18,153271
qwen3vl-8b,ai2thor03078,FloorPlan30,"Please fill the bottle with water, then turn off the kitchen light. I'm leaving.",0,0,failed_model,Reached maximum step limit (36 steps),36,489946
qwen3vl-8b,ai2thor04008,FloorPlan303,Please help me move the mug from the right side desk to side table by the window.,0,0,failed_model,Model claimed DONE but success conditions not met,4,16964
qwen3vl-8b,ai2thor04006,FloorPlan303,Please move the pencil from the desk on the right to the side table by the window.,0,0,failed_model,Reached maximum step limit (26 steps),26,284424
qwen3vl-8b,ai2thor04005,FloorPlan303,Please transfer the cellphone from the side table next to the window to the desk by the bed on the right.,0,0,failed_model,Reached maximum step limit (40 steps),40,562263
qwen3vl-8b,ai2thor04009,FloorPlan303,I'd like to read a book. Please open the book on the table to the left and place it on the bed.,0,0,failed_model,Reached maximum step limit (34 steps),34,457780
qwen3vl-8b,ai2thor04035,FloorPlan323,Please put my keychain in the safe.,0,0,failed_model,Reached maximum step limit (36 steps),36,475440
qwen3vl-8b,ai2thor04036,FloorPlan323,I'm getting ready for bed. Please put the teddy bear and laptop on the sofa and clean the bed.,0,0,failed_model,Reached maximum step limit (42 steps),42,636800
qwen3vl-8b,ai2thor04037,FloorPlan323,I'm going to study now. Please take a pen to the desk on the right and open the book.,0,0,failed_model,Reached maximum step limit (32 steps),32,417262
qwen3vl-8b,ai2thor04039,FloorPlan323,I'm sleepy. Please wash the bowl in front of me and then fill it with a cup of coffee.,0,0,failed_model,Reached maximum step limit (14 steps),14,102265
qwen3vl-8b,ai2thor04040,FloorPlan324,"I'm going to sleep now. Please close the books, and then tidy up the bed.",0,0,failed_model,Model claimed DONE but success conditions not met,4,16899
qwen3vl-8b,ai2thor04043,FloorPlan324,"I'd like to use my phone in bed for a while. Please turn it on and place it on the bed, and also clean the bed.",0,0,failed_model,Model claimed DONE but success conditions not met,12,80327
qwen3vl-8b,ai2thor04038,FloorPlan323,I'm going on a long trip. Please turn off my phone and put it in the safe. Remember to close the safe door.,0,0,failed_model,Reached maximum step limit (44 steps),44,656966
qwen3vl-8b,ai2thor04044,FloorPlan324,"I'm going home now, please turn on all the lights in the room.",0,0,failed_model,Reached maximum step limit (26 steps),26,305496
qwen3vl-8b,ai2thor04042,FloorPlan324,I'm getting ready to leave. Please hold my keychain and turn off all the lights.,0,0,failed_model,Reached maximum step limit (38 steps),38,552623
qwen3vl-8b,ai2thor04045,FloorPlan210,I'm about to put my watch on; please place it on the chair.,0,0,failed_model,Reached maximum step limit (44 steps),44,680606
qwen3vl-8b,ai2thor04046,FloorPlan210,I want to work on my laptop while watching TV. Please enable both.,0,0,failed_model,Reached maximum step limit (38 steps),38,555857
qwen3vl-8b,ai2thor04047,FloorPlan210,Please turn on the TV.,0,0,failed_model,Reached maximum step limit (22 steps),22,213568
qwen3vl-8b,ai2thor04048,FloorPlan210,Please place the watering can on the dressing table next to it and fill it with water.,0,0,failed_model,Reached maximum step limit (36 steps),36,509775
qwen3vl-8b,ai2thor04050,FloorPlan211,I don't like the vase and statue on your left. Please smash them both.,0,0,failed_model,Reached maximum step limit (18 steps),18,154508
qwen3vl-8b,ai2thor04049,FloorPlan210,"I don't want to watch TV anymore, please put the remote control in the box.",0,0,failed_model,Reached maximum step limit (44 steps),44,658423
qwen3vl-8b,ai2thor04052,FloorPlan211,I need to get a new phone. Please break the phone in front of you and put it in the box on the right.,0,0,failed_model,Reached maximum step limit (36 steps),36,506861
qwen3vl-8b,ai2thor04051,FloorPlan211,I'm going to eat at the dining table now. Please close my laptop and place it on the coffee table.,0,0,failed_model,Reached maximum step limit (32 steps),32,454198
qwen3vl-8b,ai2thor04053,FloorPlan211,I want to watch TV. Please pick up the remote and turn on the TV.,0,0,failed_model,Reached maximum step limit (40 steps),40,580242
qwen3vl-8b,ai2thor04055,FloorPlan212,This tissue box is broken; please throw it in the trash can.,0,0,failed_model,Reached maximum step limit (32 steps),32,402524
qwen3vl-8b,ai2thor04054,FloorPlan211,I'm about to leave. Please take my phone and turn off all the lights.,0,0,failed_model,Reached maximum step limit (44 steps),44,653286
qwen3vl-8b,ai2thor04059,FloorPlan212,"I want to organize some things, please put the tissue box in the room or in the box.",0,0,failed_model,Model claimed DONE but success conditions not met,1,3330
qwen3vl-8b,ai2thor04061,FloorPlan213,Please fill my indoor plants with water.,0,0,failed_model,Model claimed DONE but success conditions not met,3,11609
qwen3vl-8b,ai2thor04058,FloorPlan212,"I want to work on the sofa, please turn on my laptop.",0,0,failed_model,Reached maximum step limit (16 steps),16,126784
qwen3vl-8b,ai2thor04057,FloorPlan212,I'd like to read a newspaper. Please bring one to the sofa.,0,0,failed_model,Reached maximum step limit (30 steps),30,366056
qwen3vl-8b,ai2thor04063,FloorPlan213,"I don't want the watch anymore, please put it in the box.",0,0,failed_model,Model determined task cannot be completed or refused to continue,5,22883
qwen3vl-8b,ai2thor04056,FloorPlan212,I want to sleep now. Please take the pillow and turn off all the lights.,0,0,failed_model,Reached maximum step limit (46 steps),46,724360
qwen3vl-8b,ai2thor04064,FloorPlan213,I want to go out. Please take my keychain and turn off my laptop and TV.,0,0,failed_model,Reached maximum step limit (20 steps),20,182331
qwen3vl-8b,ai2thor04065,FloorPlan214,I want to drink water. Please pick up the bowl and fill it with water.,0,0,failed_model,Reached maximum step limit (16 steps),16,130403
qwen3vl-8b,ai2thor04067,FloorPlan214,I'd like to have the bowl and plate cleaned.,0,0,failed_model,Reached maximum step limit (14 steps),14,102733
qwen3vl-8b,ai2thor04062,FloorPlan213,I'd like to read a book on the sofa for a while. Please open the book and place it on the sofa.,0,0,failed_model,Reached maximum step limit (50 steps),50,782456
qwen3vl-8b,ai2thor04069,FloorPlan214,I want to work now. Please put my laptop on the coffee table and turn it on.,0,0,failed_model,Reached maximum step limit (38 steps),38,525424
qwen3vl-8b,ai2thor04066,FloorPlan214,I'd like to check the news in the newspaper and on TV. Please pick up the newspaper and turn on the TV.,0,0,failed_model,Reached maximum step limit (42 steps),42,644968
qwen3vl-8b,ai2thor04072,FloorPlan215,I want to sleep. Please turn off the TV and bring a pillow.,0,0,failed_model,Reached maximum step limit (32 steps),32,412911
qwen3vl-8b,ai2thor04068,FloorPlan214,Please put my keychain in the box.,0,0,failed_model,Reached maximum step limit (44 steps),44,678776
qwen3vl-8b,ai2thor04103,FloorPlan310,"I need to get ready for work, please turn on the main light in the room.",0,0,failed_model,Reached maximum step limit (16 steps),16,127467
qwen3vl-8b,ai2thor04100,FloorPlan303,Please place all the pens on the right desk next to the bed on the table by the windows.,0,0,failed_model,Reached maximum step limit (42 steps),42,630956
qwen3vl-8b,ai2thor04101,FloorPlan310,I'm getting ready for bed. Please remove my computer and phone from the bed.,0,0,failed_model,Reached maximum step limit (44 steps),44,633077
qwen3vl-8b,ai2thor04105,FloorPlan311,"I want entertainment, please turn on all the electronic devices in front of me.",0,0,failed_model,Model determined task cannot be completed or refused to continue,5,23401
qwen3vl-8b,ai2thor04106,FloorPlan311,I'm going to tidy up the room. Please clean up all the dirt in front of me.,0,0,failed_model,Reached maximum step limit (14 steps),14,102788
qwen3vl-8b,ai2thor04073,FloorPlan217,Please help me put the remote control and watch into the box.,0,0,failed_model,Reached maximum step limit (78 steps),78,1444650
qwen3vl-8b,ai2thor04104,FloorPlan310,I need to tidy up the room. Please put my credit card and keychain in the box.,0,0,failed_model,Reached maximum step limit (52 steps),52,839181
qwen3vl-8b,ai2thor04107,FloorPlan310,"I'm getting ready for bed, please put the alarm clock on the desk closest to my bed.",0,0,failed_model,Reached maximum step limit (32 steps),32,429564
qwen3vl-8b,ai2thor04108,FloorPlan311,"I want to get up and work, please turn on the computer and open the book",0,0,failed_model,Reached maximum step limit (30 steps),30,357074
qwen3vl-8b,ai2thor04109,FloorPlan311,I'm getting ready for bed. Please make my bed and turn off the TV.,0,0,failed_model,Reached maximum step limit (20 steps),20,193682
qwen3vl-8b,ai2thor04110,FloorPlan310,"I need to get ready to work, please turn on my phone and computer.",0,0,failed_model,Reached maximum step limit (24 steps),24,244960
qwen3vl-8b,ai2thor04112,FloorPlan303,Put a coffee cup with a pencil on the side table.,0,0,failed_model,Reached maximum step limit (34 steps),34,455306
qwen3vl-8b,ai2thor04114,FloorPlan23,"I'm going to start cooking, so I'll put a bowl on the counter.",0,0,failed_model,Reached maximum step limit (32 steps),32,420989
qwen3vl-8b,ai2thor04102,FloorPlan310,I'm getting ready to leave. Please clean my bed and pick up my keychain.,0,0,failed_model,Reached maximum step limit (18 steps),18,155448
qwen3vl-8b,ai2thor04115,FloorPlan323,I need to get ready for work. Please move the coffee from the bedside table to the desk.,0,0,failed_model,Reached maximum step limit (38 steps),38,535298
qwen3vl-8b,ai2thor04117,FloorPlan25,I need to heat up the knife. Please put one knife in the pot.,0,0,failed_model,Reached maximum step limit (26 steps),26,287292
qwen3vl-8b,ai2thor04116,FloorPlan6,"I'm hungry, please put the bread slices in the microwave to heat them up.",0,0,failed_model,Reached maximum step limit (44 steps),44,654960
qwen3vl-8b,ai2thor04118,FloorPlan213,I'm getting ready to leave. Please leave my keys on the sofa.,0,0,failed_model,Reached maximum step limit (30 steps),30,364464
qwen3vl-8b,ai2thor04221,FloorPlan320,I want to sleep. Please turn off all the lights in the room.,0,0,failed_model,Reached maximum step limit (22 steps),22,215367
qwen3vl-8b,ai2thor04222,FloorPlan320,I need to get ready to work. Please turn on my desk lamp and turn on my computer.,1,1,success,,4,16826
qwen3vl-8b,ai2thor04119,FloorPlan217,I'm going to clean the house now. Please put my keys and credit card in the box.,0,0,failed_model,Reached maximum step limit (56 steps),56,902951
qwen3vl-8b,ai2thor04220,FloorPlan320,"I'm a little tired. Please turn my phone on and put it on the bed, and make the bed neatly.",0,0,failed_model,Reached maximum step limit (32 steps),32,406863
qwen3vl-8b,ai2thor04223,FloorPlan320,Both the pencil and pen are broken; please throw them in the trash.,0,0,failed_model,Step 4 parse failed after 3 retries: Unrecognized action format: ThrowObject,4,34280
qwen3vl-8b,ai2thor04224,FloorPlan320,"I'm about to exercise, please pick up this tennisracket for me.",0,1,failed_model,Reached maximum step limit (12 steps),12,78953
qwen3vl-8b,ai2thor04120,FloorPlan217,"I'm leaving the room, please turn off all the lights.",0,0,failed_model,Reached maximum step limit (56 steps),56,980977
qwen3vl-8b,ai2thor04227,FloorPlan321,I'd like to read a book in the armchair. Please open the book and place it on the armchair.,0,0,failed_model,Model claimed DONE but success conditions not met,8,43683
qwen3vl-8b,ai2thor04225,FloorPlan321,I'm tired and want to read a book in bed. Please open the book and place it on the bed.,0,0,failed_model,Reached maximum step limit (26 steps),26,291434
qwen3vl-8b,ai2thor04226,FloorPlan321,"I have a runny nose, please send a box of tissues to the desk.",0,0,failed_model,Reached maximum step limit (34 steps),34,452608
qwen3vl-8b,ai2thor04228,FloorPlan321,"I want to sleep now. Please turn off my phone, then clean the bed.",0,0,failed_model,Reached maximum step limit (16 steps),16,132369
qwen3vl-8b,ai2thor04229,FloorPlan321,I'm going to start working now. Please open my laptop and start it.,1,0,success,,3,11657
qwen3vl-8b,ai2thor04230,FloorPlan322,"I want to drink water, please fill the mug with water.",0,0,failed_model,Reached maximum step limit (26 steps),26,286936
qwen3vl-8b,ai2thor04232,FloorPlan322,I'm going out shopping. Please take my credit card and turn off the light next to the door.,0,0,failed_model,Reached maximum step limit (26 steps),26,298421
qwen3vl-8b,ai2thor04235,FloorPlan330,My pen is broken. Please throw the pen into the trash can.,0,0,failed_model,Step 15 parse failed after 3 retries: Unrecognized action format: ThrowObject,15,171082
qwen3vl-8b,ai2thor04234,FloorPlan322,I'm trapped outside. Please take the keychain and break the window.,0,0,failed_model,Reached maximum step limit (34 steps),34,458889
qwen3vl-8b,ai2thor04233,FloorPlan322,I'd like to work in an armchair; please turn on my cell phone and bring it to the armchair.,0,0,failed_model,Reached maximum step limit (36 steps),36,500356
qwen3vl-8b,ai2thor04238,FloorPlan330,I want to put on my boots. Please pick up the boots located between the shelf and the dresser.,0,0,failed_model,Reached maximum step limit (14 steps),14,101297
qwen3vl-8b,ai2thor04241,FloorPlan329,I am trapped and need an emergency exit. Please break any window in the room.,1,0,success,,6,28657
qwen3vl-8b,ai2thor04236,FloorPlan330,I want to clean the dirty mirror. Please clean the mirror.,0,0,failed_model,Reached maximum step limit (26 steps),26,291652
qwen3vl-8b,ai2thor04242,FloorPlan329,I want to start working. Please open the laptop and turn it on.,1,0,success,,3,11820
qwen3vl-8b,ai2thor04239,FloorPlan330,"Please walk to the window, and if the window is intact, break it.",0,0,failed_model,Reached maximum step limit (32 steps),32,415817
qwen3vl-8b,ai2thor04240,FloorPlan330,Please water the houseplant as it is currently empty and lacks water.,0,0,failed_model,Reached maximum step limit (24 steps),24,251784
qwen3vl-8b,ai2thor04500,FloorPlan202,I'm going to start working now. Please bring me the laptop from the sofa.,0,0,failed_model,Reached maximum step limit (22 steps),22,214639
qwen3vl-8b,ai2thor04243,FloorPlan329,"I am tired from reading. Please close the book, then turn off the light switch and the desk lamp.",0,0,failed_model,Reached maximum step limit (28 steps),28,353402
qwen3vl-8b,ai2thor04503,FloorPlan329,Please pick up the baseball bat leaning against the table by the door.,0,0,failed_model,Reached maximum step limit (24 steps),24,248000
qwen3vl-8b,ai2thor04502,FloorPlan313,Please pick up the tennis racket located in the aisle between the bed and the wall.,0,0,failed_model,Reached maximum step limit (32 steps),32,403924
qwen3vl-8b,ai2thor04501,FloorPlan9,I'm thirsty. Please fill the mug at the coffee machine and put it on the dining table.,0,0,failed_model,Reached maximum step limit (40 steps),40,594071
qwen3vl-8b,ai2thor05002,FloorPlan302,Please help me with this task in the scene: open the book and turn off the desk lamp.,0,0,failed_model,Model claimed DONE but success conditions not met,9,51801
qwen3vl-8b,ai2thor04505,FloorPlan422,Please move the soap bottle from the sink next to the faucet to the bathtub next to the faucet.,0,0,failed_model,Reached maximum step limit (26 steps),26,299480
qwen3vl-8b,ai2thor05003,FloorPlan303,"I'm checking a couple interactions, so please open the book gently so it stays open and then in the simulation, break the window using the provided interaction.",0,0,failed_model,Reached maximum step limit (22 steps),22,217992
qwen3vl-8b,ai2thor05001,FloorPlan301,"Could you help me out by picking up the laptop, turning it on carefully, and holding it securely?",0,0,failed_model,Reached maximum step limit (22 steps),22,232395
qwen3vl-8b,ai2thor05004,FloorPlan303,"I want this put away neatly, so please pick up the phone carefully and hold it securely and then place it on the bed and make sure it sits flat and won't slide.",0,0,failed_model,Reached maximum step limit (24 steps),24,250580
qwen3vl-8b,ai2thor05008,FloorPlan308,"I want to read and check my phone, so please open the book gently so it stays open and then pick up the cell phone carefully and hold it securely and turn on the cell phone and wait until you can tell it's powered on.",0,0,failed_model,Model claimed DONE but success conditions not met,18,156239
qwen3vl-8b,ai2thor05005,FloorPlan305,"I want this put away neatly, so please pick up the pen carefully and hold it securely and then place it on the shelf and make sure it sits flat and won't slide.",0,0,failed_model,Reached maximum step limit (30 steps),30,383296
